date,occupancy,capacity,% occupied
01/01/2017,4295,4653,92.30603911454975
01/02/2017,4299,4704,91.39030612244898
01/03/2017,4386,4733,92.66849778153392
01/04/2017,4600,4938,93.15512353179425
01/05/2017,4729,5011,94.37238076232289
01/06/2017,4803,5054,95.03363672338742
01/07/2017,4939,5184,95.27391975308642
01/08/2017,4911,5397,90.99499722067816
01/09/2017,4994,5281,94.56542321530014
01/10/2017,5176,5368,96.42324888226528
01/11/2017,5244,5523,94.94839760999457
01/12/2017,5365,5574,96.25044851094367
02/01/2017,4289,4653,92.17709004943048
02/02/2017,4307,4704,91.56037414965986
02/03/2017,4379,4733,92.52060004225649
02/04/2017,4558,4938,92.30457675172134
02/05/2017,4726,5011,94.31251247256037
02/06/2017,4788,5054,94.73684210526315
02/07/2017,4944,5184,95.37037037037037
02/08/2017,4895,5396,90.71534469977762
02/09/2017,5053,5281,95.68263586441962
02/10/2017,5112,5383,94.96563254690693
02/11/2017,5271,5523,95.43726235741445
02/12/2017,5335,5576,95.67790530846484
03/01/2017,4296,4653,92.32753062540297
03/02/2017,4412,4709,93.69292843491188
03/03/2017,4489,4733,94.84470737375872
03/04/2017,4568,4938,92.50708788983394
03/05/2017,4731,5011,94.4122929554979
03/06/2017,4843,5054,95.82508903838544
03/07/2017,4863,5184,93.80787037037037
03/08/2017,4941,5291,93.3849933849934
03/09/2017,5070,5281,96.00454459382692
03/10/2017,5132,5388,95.24870081662955
03/11/2017,5360,5523,97.04870541372442
03/12/2017,5372,5576,96.34146341463415
04/01/2017,4319,4653,92.82183537502686
04/02/2017,4409,4709,93.62922064132512
04/03/2017,4510,4733,95.28840059159096
04/04/2017,4518,4938,91.49453219927096
04/05/2017,4730,5007,94.46774515678051
04/06/2017,4860,5054,96.1614562722596
04/07/2017,4829,5184,93.1520061728395
04/08/2017,4967,5291,93.87639387639388
04/09/2017,4998,5281,94.64116644574891
04/10/2017,5133,5385,95.32033426183844
04/11/2017,5368,5523,97.19355422777475
04/12/2017,5285,5576,94.78120516499283
05/01/2017,4328,4653,93.01525897270578
05/02/2017,4389,4709,93.20450201741346
05/03/2017,4477,4733,94.59116839214029
05/04/2017,4515,4938,91.43377885783718
05/05/2017,4827,5007,96.40503295386459
05/06/2017,4806,5194,92.52984212552946
05/07/2017,4840,5184,93.3641975308642
05/08/2017,5049,5291,95.42619542619542
05/09/2017,4983,5281,94.35712933156599
05/10/2017,5165,5390,95.82560296846012
05/11/2017,5354,5523,96.94006880318668
05/12/2017,5291,5576,94.88880918220947
06/01/2017,4369,4653,93.89641091768752
06/02/2017,4324,4714,91.72677131947391
06/03/2017,4426,4733,93.513627720262
06/04/2017,4555,4938,92.24382341028756
06/05/2017,4836,5007,96.58478130617137
06/06/2017,4812,5194,92.64536003080478
06/07/2017,4850,5184,93.5570987654321
06/08/2017,5031,5291,95.0859950859951
06/09/2017,5004,5272,94.9165402124431
06/10/2017,5250,5402,97.18622732321363
06/11/2017,5278,5523,95.56400506970849
06/12/2017,5305,5576,95.13988522238164
07/01/2017,4395,4653,94.45519019987105
07/02/2017,4332,4719,91.79910998092816
07/03/2017,4441,4721,94.06905316670196
07/04/2017,4626,4938,93.681652490887
07/05/2017,4822,5007,96.3051727581386
07/06/2017,4834,5194,93.06892568348094
07/07/2017,4848,5184,93.51851851851852
07/08/2017,4953,5291,93.61179361179362
07/09/2017,5012,5272,95.06828528072838
07/10/2017,5250,5402,97.18622732321363
07/11/2017,5340,5573,95.81912793827382
07/12/2017,5305,5576,95.13988522238164
08/01/2017,4369,4653,93.89641091768752
08/02/2017,4373,4725,92.55026455026454
08/03/2017,4458,4721,94.42914636729508
08/04/2017,4626,4938,93.681652490887
08/05/2017,4736,5007,94.58757739165169
08/06/2017,4808,5190,92.63969171483623
08/07/2017,4918,5184,94.86882716049382
08/08/2017,4939,5291,93.34719334719335
08/09/2017,5015,5272,95.12518968133536
08/10/2017,5259,5402,97.35283228433913
08/11/2017,5340,5586,95.59613319011815
08/12/2017,5384,5576,96.55667144906744
09/01/2017,4261,4653,91.57532774554052
09/02/2017,4382,4725,92.74074074074075
09/03/2017,4460,4721,94.47151027324719
09/04/2017,4607,4938,93.29688132847306
09/05/2017,4735,5007,94.56760535250649
09/06/2017,4814,5164,93.22230828814872
09/07/2017,4928,5184,95.06172839506173
09/08/2017,4972,5291,93.97089397089398
